Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523007673577,000000B4,false,Rx,0,8,80,20,00,21,80,3B,02,03,
-1789523007672638,00000322,false,Rx,0,8,20,02,45,7D,45,7D,55,7C,
-1789523007671657,00000328,false,Rx,0,8,20,01,45,7D,4A,7D,41,7D,
-1789523007670719,00000330,false,Rx,0,8,20,00,4A,7D,45,7D,37,7D,
-1789523007669780,0000032A,false,Rx,0,8,20,02,3C,7D,41,7D,45,7D,
-1789523007668841,00000328,false,Rx,0,8,20,00,45,7D,37,7D,4F,7D,
-1789523007667903,00000330,false,Rx,0,8,20,01,3C,7D,41,7D,3C,7D,
-1789523007666964,00000332,false,Rx,0,8,20,02,45,7D,41,7D,41,7D,
-1789523007663380,00000102,false,Rx,0,8,00,00,64,66,60,64,7C,00,
-1789523007662399,00000104,false,Rx,0,8,04,7F,00,7F,00,26,10,00,
-1789523007661417,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007657407,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523007656511,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007636842,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523007635690,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007632831,00000006,false,Rx,0,4,25,00,00,00,00,00,00,00,
-1789523007563371,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523007562432,00000104,false,Rx,0,8,04,7F,00,7F,00,27,0F,00,
-1789523007561451,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007557440,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523007556544,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007536022,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523007534955,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007516438,00000006,false,Rx,0,3,1E,00,00,00,00,00,00,00,
-1789523007515713,00000006,false,Rx,0,3,1E,01,01,00,00,00,00,00,
-1789523007515073,00000006,false,Rx,0,3,1E,02,01,00,00,00,00,00,
-1789523007514390,00000006,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523007463404,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523007462423,00000104,false,Rx,0,8,04,7F,00,7F,00,28,0F,00,
-1789523007461442,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007457431,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
