Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
349727877,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
349827403,00000380,false,Rx,0,7,02,00,02,00,00,00,77,00,
350731041,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
350830581,00000380,false,Rx,0,7,02,00,02,00,00,00,7B,00,
350918960,000000D8,false,Rx,0,6,A0,80,00,A0,80,00,00,00,
351734215,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
351833727,00000380,false,Rx,0,7,02,00,02,00,00,00,7F,00,
351920208,0000000A,false,Rx,0,2,23,00,00,00,00,00,00,00,
351939117,0000030A,false,Rx,0,6,23,00,E6,00,00,00,00,00,
352737394,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
352836974,00000380,false,Rx,0,7,02,00,02,00,00,00,83,00,
353028025,000000D0,false,Rx,0,6,A0,80,00,9F,80,04,00,00,
353740616,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
353840179,00000380,false,Rx,0,7,02,00,02,00,00,00,87,00,
353955405,000000C8,false,Rx,0,6,A0,80,01,A0,80,00,00,00,
354743765,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
354843461,00000380,false,Rx,0,7,02,00,02,00,00,00,8B,00,
355430411,000000C0,false,Rx,0,6,A0,80,00,9F,80,06,00,00,
355476259,000000B8,false,Rx,0,6,A0,80,05,9F,80,08,00,00,
355746981,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
355846551,00000380,false,Rx,0,7,02,00,02,00,00,00,8F,00,
356750319,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
356849719,00000380,false,Rx,0,7,02,00,02,00,00,00,93,00,
357427766,000000B0,false,Rx,0,6,A0,80,01,A0,80,00,00,00,
357753335,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
357852970,00000380,false,Rx,0,7,02,00,02,00,00,00,97,00,
358468565,000000A8,false,Rx,0,6,A0,80,00,9F,80,08,00,00,
358756512,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
358856116,00000380,false,Rx,0,7,02,00,02,00,00,00,9B,00,
359331539,000000A0,false,Rx,0,6,A0,80,00,9F,80,01,00,00,
359759730,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
359859284,00000380,false,Rx,0,7,02,00,02,00,00,00,9F,00,
360483832,00000098,false,Rx,0,6,A0,80,00,9F,80,02,00,00,
360762975,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
360862497,00000380,false,Rx,0,7,02,00,02,00,00,00,A3,00,
361022271,00000090,false,Rx,0,6,28,80,00,9F,80,05,00,00,
361439417,00000088,false,Rx,0,6,A0,80,02,A0,80,00,00,00,
361766081,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
361865644,00000380,false,Rx,0,7,02,00,02,00,00,00,A7,00,
362769294,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
362868834,00000380,false,Rx,0,7,02,00,02,00,00,00,AB,00,
363772487,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
363872009,00000380,false,Rx,0,7,02,00,02,00,00,00,AF,00,
364775674,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
364875226,00000380,false,Rx,0,7,02,00,02,00,00,00,B3,00,
365778951,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
365878390,00000380,false,Rx,0,7,02,00,02,00,00,00,B7,00,
366782118,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
366881571,00000380,false,Rx,0,7,02,00,02,00,00,00,BB,00,
367785244,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
367884728,00000380,false,Rx,0,7,02,00,02,00,00,00,BF,00,
368788377,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
368887902,00000380,false,Rx,0,7,02,00,02,00,00,00,C3,00,
369791647,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
369891099,00000380,false,Rx,0,7,02,00,02,00,00,00,C7,00,
370794808,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
370894304,00000380,false,Rx,0,7,02,00,02,00,00,00,CB,00,
371332655,00000701,false,Rx,0,8,56,49,4F,2D,52,34,00,60,
373337605,00000300,false,Rx,0,1,00,00,00,00,00,00,00,00,
373354943,00000006,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373355939,00000006,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373356971,00000312,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373356972,00000006,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373357980,00000312,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373358977,00000006,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373358978,00000312,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373359980,00000006,false,Rx,0,2,1F,00,00,00,00,00,00,00,
373359981,00000312,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373361004,00000006,false,Rx,0,4,1B,00,01,01,00,00,00,00,
373361931,00000312,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373362925,00000006,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373362927,0000031A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373363955,00000006,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373363956,00000312,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373364954,00000006,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373365987,00000092,false,Rx,0,8,00,80,C8,80,FC,84,04,10,
373366980,00000006,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373366981,00000312,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373367986,00000006,false,Rx,0,6,01,00,14,00,00,00,00,00,
373369009,00000312,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373369010,00000006,false,Rx,0,5,26,00,04,06,05,00,00,00,
373370009,0000031A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373371034,0000031A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373371036,0000031A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373372039,00000322,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373373035,0000031A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373373036,0000031A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373374053,0000031A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373375054,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
373375057,0000031A,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373376124,00000322,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373377088,0000032A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373377089,00000322,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373378155,0000032A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373378156,00000322,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373379178,0000033A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373380178,00000322,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373381178,0000033A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373381180,00000322,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373382214,0000034A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373383182,000000A2,false,Rx,0,8,78,80,C8,80,9D,85,04,40,
373383183,0000034A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373384183,00000322,false,Rx,0,3,1E,01,01,00,00,00,00,00,
