Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10977796,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11003157,000000AA,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
11006968,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11007995,00000104,false,Rx,0,8,00,7F,00,19,00,24,0D,04,
11009003,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11035906,000000AC,false,Rx,0,8,94,18,E7,18,DD,62,02,23,
11038008,00000180,false,Rx,0,1,01,00,00,00,00,00,00,00,
11076679,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11077656,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11107170,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11108090,00000104,false,Rx,0,8,00,7F,00,19,00,25,0D,04,
11109174,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11176766,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11177679,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11207095,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11208088,00000104,false,Rx,0,8,00,7F,00,19,00,26,0E,04,
11209148,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11217940,00000380,false,Rx,0,7,02,00,14,00,00,00,1F,00,
11220953,00000280,false,Rx,0,5,06,E1,06,12,1B,00,00,00,
11222921,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11276666,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11277738,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11307000,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11308009,00000104,false,Rx,0,8,00,7F,00,19,00,27,0D,04,
11309025,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11310016,0000008A,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
11311145,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,30,
11312455,000000A2,false,Rx,0,8,78,80,C8,80,9D,85,04,40,
11315160,000000DA,false,Rx,0,8,78,80,A0,80,9A,85,04,00,
11317150,000000D2,false,Rx,0,8,78,80,C7,80,9C,85,04,70,
11318329,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11319724,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11325724,000000BC,false,Rx,0,8,9F,18,EC,18,0C,63,02,21,
11329457,00000006,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11330461,0000032A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11331494,00000332,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11342499,0000008C,false,Rx,0,8,D0,18,14,19,A7,63,02,23,
11343496,0000030A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11344497,000000CC,false,Rx,0,8,B5,18,ED,18,55,63,02,20,
11345517,0000034A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11345518,000000A4,false,Rx,0,8,9F,18,DF,18,E9,62,02,21,
11346550,00000322,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11348025,000000DC,false,Rx,0,8,BB,18,16,19,4F,63,02,21,
11349017,0000035A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11350002,000000D4,false,Rx,0,8,92,18,EC,18,05,63,02,23,
11351006,00000352,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11376721,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
11377689,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11406986,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11408014,00000104,false,Rx,0,8,00,7F,00,19,00,28,0D,04,
11409006,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
11409977,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11411034,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,20,
11413115,00000092,false,Rx,0,8,00,80,C8,80,FC,84,04,10,
11419709,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11421073,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11423387,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
11424376,0000033A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11438391,000000AC,false,Rx,0,8,94,18,E6,18,D8,62,02,23,
11441668,0000009C,false,Rx,0,8,A4,18,DE,18,E9,62,02,21,
11442665,0000031A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11443588,000000C4,false,Rx,0,8,7A,18,EE,18,C6,62,02,23,
11444630,00000342,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11446074,00000094,false,Rx,0,8,9B,18,EC,18,F8,62,02,23,
11447086,00000312,false,Rx,0,3,1E,03,78,00,00,00,00,00,
11476822,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
11477795,00000288,false,Rx,0,8,04,00,4F,1B,64,C7,06,00,
11479003,00000288,false,Rx,0,7,04,01,28,0E,BE,A7,17,00,
11479993,00000288,false,Rx,0,8,04,02,67,C6,7C,F8,14,00,
